layer,neuron,neuron_id,mean_activation,gender_logit_weight,proxy_score,abs_proxy_score,rank_abs_proxy,rank_proxy_score,rank_reverse_proxy_score
0,8712,L0N8712,-10.89501826040108,0.1280106902122497,-1.394678807389007,1.394678807389007,1,239616,1
0,8302,L0N8302,1.0378557590357311,-1.2392513751983645,-1.286164176642572,1.286164176642572,2,239615,2
0,6887,L0N6887,-4.577637635967536,0.2384068220853805,-1.0913400414494543,1.0913400414494543,3,239614,3
1,3242,L1N3242,-2.9435553246442314,-0.3529475033283233,1.038920502741974,1.038920502741974,4,1,239616
3,7263,L3N7263,-2.1425742989314585,-0.4835417568683624,1.036024140726317,1.036024140726317,5,2,239615
1,6665,L1N6665,0.6308736503257188,-1.2934752702713013,-0.8160194653621016,0.8160194653621016,6,239613,4
23,1433,L23N1433,-2.77793228274042,0.2539317309856415,-0.7054051531171691,0.7054051531171691,7,239612,5
20,3498,L20N3498,-0.417319783352338,1.6030025482177734,-0.6689646761354869,0.6689646761354869,8,239611,6
4,8711,L4N8711,-3.428001453795216,-0.1855881214141845,0.6361963500149478,0.6361963500149478,9,3,239614
0,7415,L0N7415,-0.3042028374033345,1.9750304222106931,-0.6008098583943986,0.6008098583943986,10,239610,7
25,6550,L25N6550,-0.6411574614507902,0.8811740875244141,-0.5649713410533698,0.5649713410533698,11,239609,8
0,349,L0N349,0.5990640145705336,-0.9355846643447876,-0.5604751049930137,0.5604751049930137,12,239608,9
0,5537,L0N5537,-0.6287168097258968,0.819776177406311,-0.5154070629481867,0.5154070629481867,13,239607,10
1,567,L1N567,-4.166483897309412,-0.1189407184720039,0.4955645882480165,0.4955645882480165,14,4,239613
0,7789,L0N7789,-0.1409842299604365,3.511267900466919,-0.4950334011321271,0.4950334011321271,15,239606,11
6,651,L6N651,2.58168347559192,-0.1762726157903671,-0.4550800993853541,0.4550800993853541,16,239605,12
12,8526,L12N8526,3.1477249246429317,-0.1418542116880417,-0.4465180377960234,0.4465180377960234,17,239604,13
11,8190,L11N8190,3.230122983320193,0.1359908133745193,0.439267051801442,0.439267051801442,18,5,239612
