layer,neuron,neuron_id,mean_activation,gender_logit_weight,proxy_score,abs_proxy_score
11,2607,L11N2607,0.17200406048317415,47.773685455322266,8.217267882561389,8.217267882561389
11,2652,L11N2652,0.22794630459502926,-30.134159088134766,-6.8689702062190365,6.8689702062190365
0,399,L0N399,2.764279025945474,2.4043328762054443,6.646246941085866,6.646246941085866
10,379,L10N379,2.7206922285936095,2.0266919136047363,5.514004939097918,5.514004939097918
10,369,L10N369,0.9283226471379749,-5.42158317565918,-5.032978445306638,5.032978445306638
9,255,L9N255,0.3939537264625621,11.964226722717285,4.713351701657441,4.713351701657441
9,1503,L9N1503,1.048681874690043,-4.3109588623046875,-4.520824421433335,4.520824421433335
10,1162,L10N1162,0.8681731597016386,4.9111433029174805,4.26372279904141,4.26372279904141
10,2178,L10N2178,1.6541781632991677,-2.2445242404937744,-3.7128429856204512,3.7128429856204512
11,1623,L11N1623,1.1291537382115657,3.2814626693725586,3.7052758399237278,3.7052758399237278
0,2627,L0N2627,2.3551640635394673,-1.5473390817642212,-3.644237399481251,3.644237399481251
9,2603,L9N2603,0.9934099042978646,-3.0273261070251465,-3.0073757382582778,3.0073757382582778
9,2315,L9N2315,-0.1116809267884078,25.95893669128418,-2.899118108124221,2.899118108124221
11,2926,L11N2926,0.17680094085272602,15.847420692443848,2.801838888513031,2.801838888513031
0,2845,L0N2845,2.1217370267618785,1.2920253276824951,2.741337977258099,2.741337977258099
8,2596,L8N2596,1.4022139490624381,1.9206925630569458,2.693221903778936,2.693221903778936
11,2044,L11N2044,2.529056340117346,-0.9526001811027527,-2.4091795276148487,2.4091795276148487
8,2108,L8N2108,1.186828257600692,-1.969014048576355,-2.33688151246316,2.33688151246316
0,1558,L0N1558,0.8607822929491208,2.500605583190918,2.1524770076604516,2.1524770076604516
10,1109,L10N1109,1.1105638455981204,1.9314849376678467,2.1450373400912497,2.1450373400912497
10,1382,L10N1382,0.8246429433286473,2.592353343963623,2.1377658917140234,2.1377658917140234
11,1776,L11N1776,0.49328467435780526,-4.248135089874268,-2.095539934436594,2.095539934436594
10,1690,L10N1690,1.7378105714239858,1.1814463138580322,2.0531298937923887,2.0531298937923887
0,694,L0N694,1.1608640952628444,-1.7574039697647095,-2.0401071693722406,2.0401071693722406
11,322,L11N322,0.912293758278956,2.221881866455078,2.0270089584001645,2.0270089584001645
10,1015,L10N1015,1.4385356720320983,1.4045896530151367,2.0205523204294615,2.0205523204294615
8,23,L8N23,1.3812260433164987,-1.4615592956542969,-2.018743763009033,2.018743763009033
11,3065,L11N3065,1.134375665910358,1.7631011009216309,2.0000189854252604,2.0000189854252604
11,2032,L11N2032,1.1610123136393007,-1.7117280960083008,-1.9873373970679924,1.9873373970679924
5,1795,L5N1795,0.808922089489583,-2.44492506980896,-1.9777538961153285,1.9777538961153285
11,2,L11N2,1.371834078055227,1.4313127994537354,1.963523674647261,1.963523674647261
9,244,L9N244,-0.09456431847066411,-20.680625915527344,1.9556492952485973,1.9556492952485973
10,1973,L10N1973,2.2671998125754973,-0.8493173718452454,-1.9255721862646542,1.9255721862646542
11,1550,L11N1550,0.601784241952673,3.1123905181884766,1.8729875686487394,1.8729875686487394
5,1319,L5N1319,-0.13311733743665338,-13.770988464355469,1.833157318245868,1.833157318245868
2,126,L2N126,1.3793262362726224,1.316352128982544,1.8156790276789458,1.8156790276789458
0,620,L0N620,0.9834141956303607,-1.8379614353179932,-1.8074773665128674,1.8074773665128674
6,1336,L6N1336,0.8454034109621055,2.0861172676086426,1.7636106537032938,1.7636106537032938
9,978,L9N978,1.5857335071418095,1.1098206043243408,1.7598797191934794,1.7598797191934794
7,2367,L7N2367,2.4016018855300816,-0.7221747040748596,-1.7343761309883114,1.7343761309883114
