Intervention,Signed Bias↓,Abs Bias↓,Gender Mass,WikiText PPL↓,LAMBADA (%)↑,BLiMP (%)↑,Winogender%,GAP (%)↑,CrowS (%)↓,WinoB T1 gap↓,WinoB T2 gap↓
Baseline,+0.0720,0.0777,0.1487,231.20,15.0,85.2,92.9,65.8,55.0,-1.3,+4.5
F10643,+0.0609,0.0666,0.1388,231.20,15.0,85.2,92.1,65.8,55.0,-1.5,+3.5
F8042,+0.0654,0.0714,0.1422,231.20,15.0,85.2,92.9,65.8,55.0,-1.3,+3.5
F23141,+0.0531,0.0588,0.1218,231.20,15.0,85.2,92.9,65.8,55.0,-1.3,+3.8
F10643 + F8042,+0.0552,0.0611,0.1332,231.20,15.0,85.2,92.1,65.8,55.0,-1.5,+3.5
All three,+0.0394,0.0455,0.1089,231.20,15.0,85.2,91.2,65.8,55.0,-1.5,+3.5
F10643 (half) + F8042,+0.0599,0.0659,0.1373,231.20,15.0,85.2,92.1,65.8,55.0,-1.5,+4.5
