layer,neuron,neuron_id,mean_activation,gender_logit_weight,proxy_score,abs_proxy_score,rank_abs_proxy,rank_proxy_score,rank_reverse_proxy_score
29,5434,L29N5434,1.3442484044274765,-4.7670769691467285,-6.40813560955846,6.40813560955846,1,327680,1
19,3700,L19N3700,1.6090172842879835,3.654477834701538,5.8801180010821,5.8801180010821,2,1,327680
31,74,L31N74,0.508888550729336,11.063549041748049,5.630113437778098,5.630113437778098,3,2,327679
28,3278,L28N3278,0.7733276004890451,5.926633834838867,4.583229522473129,4.583229522473129,4,3,327678
24,4144,L24N4144,0.6641637033415133,-4.610701560974121,-3.0622606237390686,3.0622606237390686,5,327679,2
19,3583,L19N3583,0.6135986317609091,-4.254382133483887,-2.6104830560937704,2.6104830560937704,6,327678,3
26,9228,L26N9228,0.5612885298122985,4.426925659179688,2.484782594829307,2.484782594829307,7,4,327677
31,8541,L31N8541,0.3161311300073066,-5.76224422454834,-1.8216247780845432,1.8216247780845432,8,327677,4
31,2611,L31N2611,0.7352235626906225,2.263766288757324,1.6643743159190885,1.6643743159190885,9,5,327676
29,5238,L29N5238,0.3709199145715336,-4.30321741104126,-1.5961490344861604,1.5961490344861604,10,327676,5
25,1757,L25N1757,0.3957414146470496,3.5619657039642334,1.4096173466110795,1.4096173466110795,11,6,327675
26,8997,L26N8997,0.4105793739958575,-3.2962749004364014,-1.3533824851394352,1.3533824851394352,12,327675,6
31,760,L31N760,0.1641486118903034,-7.459360599517822,-1.2244436880000722,1.2244436880000722,13,327674,7
30,8840,L30N8840,2.785874922984195,-0.3938241600990295,-1.0971448516851992,1.0971448516851992,14,327673,8
25,9061,L25N9061,0.2193468852641868,-4.7211737632751465,-1.0355747597654028,1.0355747597654028,15,327672,9
29,2794,L29N2794,4.203972253685986,0.2414083778858184,1.0148741224393223,1.0148741224393223,16,7,327674
28,175,L28N175,0.6273162278948637,1.5778759717941284,0.9898272027118352,0.9898272027118352,17,8,327673
30,4321,L30N4321,3.2289868220686917,-0.2873737215995788,-0.927925960053877,0.927925960053877,18,327671,10
17,2393,L17N2393,1.463542952753646,-0.610008716583252,-0.8927739582737144,0.8927739582737144,19,327670,11
29,9594,L29N9594,-0.0523024563017811,16.816770553588867,-0.8795584070161624,0.8795584070161624,20,327669,12
24,9718,L24N9718,0.1597002724091825,5.194398403167725,0.8295468399877083,0.8295468399877083,21,9,327672
12,2463,L12N2463,1.4518750322350322,0.5303109884262085,0.7699452834158933,0.7699452834158933,22,10,327671
26,3437,L26N3437,0.21199101416281,-3.5930511951446533,-0.7616945667976118,0.7616945667976118,23,327668,13
29,1695,L29N1695,1.8983533033865647,-0.37232705950737,-0.7068083033560221,0.7068083033560221,24,327667,14
16,8069,L16N8069,1.4830466949936554,-0.4698701500892639,-0.6968393731660557,0.6968393731660557,25,327666,15
25,5855,L25N5855,0.1684469846642695,-4.080479621887207,-0.6873444882908987,0.6873444882908987,26,327665,16
31,8552,L31N8552,6.71834505119107,0.1008262783288955,0.677385728040949,0.677385728040949,27,11,327670
31,4694,L31N4694,5.44799484515732,0.1236322000622749,0.6735475886347323,0.6735475886347323,28,12,327669
31,7455,L31N7455,0.1195918930966647,-5.465058326721191,-0.6535766711762784,0.6535766711762784,29,327664,17
7,2115,L7N2115,1.2169962773205374,0.5329813361167908,0.6486363019354604,0.6486363019354604,30,13,327668
30,457,L30N457,0.8205505520843541,-0.7631636261940002,-0.6262143348041845,0.6262143348041845,31,327663,18
25,9569,L25N9569,3.1294963249259373,0.1923741549253463,0.6020342108496044,0.6020342108496044,32,14,327667
28,2861,L28N2861,4.374879293177616,0.1374316960573196,0.6012470813074474,0.6012470813074474,33,15,327666
11,3758,L11N3758,2.052829237480182,-0.2881997227668762,-0.5916248171295264,0.5916248171295264,34,327662,19
26,1101,L26N1101,0.162925103986014,-3.626529932022095,-0.5908527662830922,0.5908527662830922,35,327661,20
26,3973,L26N3973,0.15478675341057,3.814231157302856,0.5903924575963505,0.5903924575963505,36,16,327665
31,5466,L31N5466,0.822407075835806,-0.7175164222717285,-0.5900905827046616,0.5900905827046616,37,327660,21
19,130,L19N130,0.7498653552824677,-0.7382402420043945,-0.5535807813544402,0.5535807813544402,38,327659,22
24,1641,L24N1641,1.8862747462678024,0.2881520688533783,0.5435339705629484,0.5435339705629484,39,17,327664
29,6852,L29N6852,0.615768158516502,-0.8548688292503357,-0.5264010047606372,0.5264010047606372,40,327658,23
27,553,L27N553,2.986374448307536,-0.1732939630746841,-0.5175206633721864,0.5175206633721864,41,327657,24
29,5009,L29N5009,-0.0649047041364528,-7.92192268371582,0.5141700479784296,0.5141700479784296,42,18,327663
29,7527,L29N7527,1.4411166430313394,-0.3563162684440613,-0.5134933046375592,0.5134933046375592,43,327656,25
29,2966,L29N2966,1.6154754449930888,0.2985622882843017,0.4823200455242372,0.4823200455242372,44,19,327662
19,3407,L19N3407,1.5331144755397954,-0.3139810562133789,-0.4813689023260054,0.4813689023260054,45,327655,26
20,5479,L20N5479,2.075401610521261,0.2257168442010879,0.4684531019767144,0.4684531019767144,46,20,327661
