combo_idx,neurons,ranks,n_prompts,abs_bias_before,signed_bias_before,gender_mass_before,abs_bias_after,signed_bias_after,gender_mass_after,abs_bias_delta,signed_bias_delta,abs_bias_reduction_pct
0,L29N5434;L19N3700;L31N74;L28N3278;L24N4144,1;2;3;4;5,650,0.07049758867494504,0.03699860078213903,0.1432261645686399,0.09909544219799071,0.014631431021311966,0.18368345490069846,-0.02859785352304567,0.02236716976082706,-40.5657187154394
1,L29N5434;L19N3700;L31N74;L28N3278;L19N3583,1;2;3;4;6,650,0.07049758867494504,0.03699860078213903,0.1432261645686399,0.09971319933904058,0.012934203772331994,0.1833560056040063,-0.02921561066409553,0.02406439700980703,-41.44199995095549
2,L29N5434;L19N3700;L31N74;L28N3278;L26N9228,1;2;3;4;7,650,0.07049758867494504,0.03699860078213903,0.1432261645686399,0.10044827527294825,0.007038718519912837,0.1857058392937003,-0.029950686598003207,0.02995988226222619,-42.484696513666336
3,L29N5434;L19N3700;L31N74;L28N3278;L31N8541,1;2;3;4;8,650,0.07049758867494504,0.03699860078213903,0.1432261645686399,0.11559307998272696,0.03447081644245077,0.2007969710604934,-0.04509549130778191,0.002527784339688255,-63.96742378765776
4,L29N5434;L19N3700;L31N74;L28N3278;L31N2611,1;2;3;4;9,650,0.07049758867494504,0.03699860078213903,0.1432261645686399,0.09360502458211661,0.005146974529823747,0.17721788833494626,-0.02310743590717157,0.03185162625231528,-32.777625932309356
5,L29N5434;L19N3700;L31N74;L28N3278;L29N5238,1;2;3;4;10,650,0.07049758867494504,0.03699860078213903,0.1432261645686399,0.10345009859907232,0.018256941057171724,0.1885499822470609,-0.03295250992412728,0.018741659724967302,-46.742747579731976
6,L29N5434;L19N3700;L31N74;L24N4144;L19N3583,1;2;3;5;6,650,0.07049758867494504,0.03699860078213903,0.1432261645686399,0.09602628178331413,0.026853713461852106,0.17622865464516071,-0.025528693108369083,0.01014488732028692,-36.21215078160826
7,L29N5434;L19N3700;L31N74;L24N4144;L26N9228,1;2;3;5;7,650,0.07049758867494504,0.03699860078213903,0.1432261645686399,0.09525879668824777,0.02226761726805457,0.17771141375301477,-0.024761208013302727,0.014730983514084455,-35.12348220514796
8,L29N5434;L19N3700;L31N74;L24N4144;L31N8541,1;2;3;5;8,650,0.07049758867494504,0.03699860078213903,0.1432261645686399,0.11508877296577194,0.04941677157445177,0.19485383414071655,-0.044591184290826896,-0.012418170792312742,-63.25207021821822
9,L29N5434;L19N3700;L31N74;L24N4144;L31N2611,1;2;3;5;9,650,0.07049758867494504,0.03699860078213903,0.1432261645686399,0.08821015209889146,0.018723627307361452,0.16941708884314324,-0.01771256342394642,0.018274973474777575,-25.125062795575438
10,L29N5434;L19N3700;L31N74;L24N4144;L29N5238,1;2;3;5;10,650,0.07049758867494504,0.03699860078213903,0.1432261645686399,0.10040823140058076,0.03251991030452803,0.18145953051698463,-0.02991064272563572,0.004478690477611,-42.42789475190378
11,L29N5434;L19N3700;L31N74;L19N3583;L26N9228,1;2;3;6;7,650,0.07049758867494504,0.03699860078213903,0.1432261645686399,0.09575347103290592,0.020256031650939057,0.17747279191768195,-0.025255882357960877,0.01674256913119997,-35.82517194228071
12,L29N5434;L19N3700;L31N74;L19N3583;L31N8541,1;2;3;6;8,650,0.07049758867494504,0.03699860078213903,0.1432261645686399,0.11484200072219374,0.04654217588097587,0.1936208880175688,-0.04434441204724869,-0.00954357509883684,-62.90202669443751
13,L29N5434;L19N3700;L31N74;L19N3583;L31N2611,1;2;3;6;9,650,0.07049758867494504,0.03699860078213903,0.1432261645686399,0.08902086789716178,0.017280692711576486,0.16939141347462752,-0.018523279222216735,0.01971790807056254,-26.275053615840818
14,L29N5434;L19N3700;L31N74;L19N3583;L29N5238,1;2;3;6;10,650,0.07049758867494504,0.03699860078213903,0.1432261645686399,0.10095294265374452,0.030745716081342144,0.18109800046173768,-0.030455353978799476,0.0062528847007968825,-43.200561254974325
15,L29N5434;L19N3700;L31N74;L26N9228;L31N8541,1;2;3;7;8,650,0.07049758867494504,0.03699860078213903,0.1432261645686399,0.11258427389694586,0.04079329617272319,0.1943823748934163,-0.04208668522200082,-0.003794695390584163,-59.69946775918379
16,L29N5434;L19N3700;L31N74;L26N9228;L31N2611,1;2;3;7;9,650,0.07049758867494504,0.03699860078213903,0.1432261645686399,0.08904255817721272,0.012621721861379248,0.17122345069842673,-0.01854496950226768,0.02437687892075978,-26.30582102286655
17,L29N5434;L19N3700;L31N74;L26N9228;L29N5238,1;2;3;7;10,650,0.07049758867494504,0.03699860078213903,0.1432261645686399,0.09976757333425866,0.025418465559945848,0.1823189896393581,-0.029269984659313616,0.011580135222193179,-41.519128823361044
18,L29N5434;L19N3700;L31N74;L31N8541;L31N2611,1;2;3;8;9,650,0.07049758867494504,0.03699860078213903,0.1432261645686399,0.10485285689778852,0.0367642042000025,0.18565603061593716,-0.034355268222843474,0.0002343965821365243,-48.73254372039734
19,L29N5434;L19N3700;L31N74;L31N8541;L29N5238,1;2;3;8;10,650,0.07049758867494504,0.03699860078213903,0.1432261645686399,0.12203640075359212,0.0547635757440385,0.20057322455379134,-0.05153881207864708,-0.017764974961899473,-73.10719848346254
20,L29N5434;L19N3700;L31N74;L31N2611;L29N5238,1;2;3;9;10,650,0.07049758867494504,0.03699860078213903,0.1432261645686399,0.09287684974235438,0.022268562890603152,0.17411596492534667,-0.02237926106740934,0.014730037891535874,-31.744718490439613
21,L29N5434;L19N3700;L28N3278;L24N4144;L19N3583,1;2;4;5;6,650,0.07049758867494504,0.03699860078213903,0.1432261645686399,0.08368507217465279,0.04725663667369342,0.1582626724914518,-0.013187483499707747,-0.010258035891554391,-18.706290169034677
