feature_id,abs_bias,signed_bias,gender_mass,amplification,mean_signed,abs_bias_reduction_pct,signed_bias_change,gender_mass_change_pct,amp_reduction_pct,diff_activation,selectivity
5,0.10557733271003919,0.03844955925208576,0.1912599972321125,0.11647575279891853,0.03844955925208577,-0.013834966084548322,7.630261439482006e-05,0.8898186983907337,0.14698745538355767,-3.991514205932617,-0.007320790135228011
18438,0.10818649656265876,0.03804678623826601,0.1930841135416423,0.11925940716548902,0.038046786238266,-2.4855064532971953,-0.00032647039942493294,1.8520416745308663,-2.239399991838166,-3.3208250999450684,-0.8714832169154881
1036,0.1057392817547523,0.03854981025004049,0.19002098898796632,0.11685093134642918,0.038549810250040506,-0.16724995219086558,0.00017655361234954897,0.2362407472940554,-0.17464779754094562,5.988805770874023,-0.13528914376665752
17,0.10574635910874561,0.038251784785298885,0.18974640704968407,0.11686581442045496,0.03825178478529889,-0.1739543582988186,-0.00012147185239205771,0.09139853056261012,-0.18740684602689234,-4.176627159118652,-0.1593866524716192
4627,0.10568077079476705,0.03849129929005523,0.18987037818703187,0.11671056578404826,0.038491299290055236,-0.11182228277110112,0.00011804265236428635,0.1567934158070865,-0.05431438973330288,2.025864601135254,-0.09666573239707067
5142,0.10656926339261825,0.03846368601267984,0.1917720496650501,0.11783890425727783,0.038463686012679854,-0.9534949199661522,9.042937498889708e-05,1.1599268123234534,-1.0216229755509345,-3.3258728981018066,-0.44144779097420844
27,0.11284514546573174,0.0422052846310902,0.20403092318897673,0.12492444306785852,0.04220528463109019,-6.898663431192387,0.0038320279933992535,7.626493502557631,-7.095955003777579,5.110451698303223,-0.7997065585393454
30,0.10534879048096264,0.03814919606044632,0.18971267494481545,0.1164494056397059,0.03814919606044633,0.20266401333577047,-0.00022406057724462525,0.07360481523394018,0.16957450166704557,7.158515453338623,0.18876965756865544
31,0.10561410942436407,0.03873497409335371,0.18967337134560736,0.1167105825549955,0.03873497409335372,-0.04867369654561405,0.0003617174556627689,0.05287213168440455,-0.05432876722874812,3.7286319732666016,-0.04622944712929666
51,0.10563140560891313,0.038349572900512274,0.18996252407053738,0.11669015012311552,0.038349572900512274,-0.06505844223513833,-2.368373717866884e-05,0.2054004513357512,-0.03681233288253191,-2.4563148021698,-0.053972472105054
52,0.10599854187392857,0.03862827741940417,0.19014779884395097,0.11708334789523103,0.038628277419404174,-0.41284811333968013,0.00025502078171322357,0.3031330591449952,-0.3738952117487128,2.265881299972534,-0.31681194060916223
3126,0.10586337805334832,0.03859236363003294,0.18997131598843886,0.11695603108583019,0.038592363630032954,-0.2848068785603781,0.00021910699234199693,0.2100381958506979,-0.2647483149847995,2.140672445297241,-0.23537015570004322
55,0.1036743272966059,0.03904245635066305,0.18559769803714038,0.1144139163392576,0.039042456350663064,1.7888897710652503,0.0006691997129721072,-2.0970491645398126,1.9145706383564018,-5.591893196105957,0.577611034253975
4664,0.10593118445067368,0.038711482113606394,0.1900820525752227,0.11707063026510293,0.038711482113606414,-0.34904015342789274,0.00033822547591545044,0.26845184389829296,-0.36299256763435306,2.424635887145996,-0.27517020461352215
18487,0.10607462148964787,0.03807896886937859,0.1908253872704896,0.11737782970485718,0.03807896886937859,-0.48491864150628,-0.0002942877683123554,0.660561556974812,-0.6263502946664825,-5.046142578125,-0.2920208765941192
2110,0.10570576932318872,0.0385162978184769,0.18975676841062153,0.11680226733204706,0.03851629781847691,-0.1355034900130579,0.00014304118078595912,0.0968641576753219,-0.13292882752528437,2.873345375061035,-0.12353716644387581
71,0.1064394658504772,0.03798506340070352,0.19120339267454348,0.11781125915517772,0.03798506340070352,-0.8305371824908949,-0.0003881932369874247,0.8599597439136412,-0.9979232212203886,4.360353946685791,-0.44653503131380523
5192,0.1054010184725141,0.03853834541984809,0.18942719599728683,0.11639584064790079,0.03853834541984809,0.15318822536541876,0.00016508878215714534,-0.07698558356971366,0.21549501018612174,-4.700146198272705,0.14223795350878327
79,0.10577236075876367,0.038452944008662907,0.19016876194517487,0.11683486317240242,0.03845294400866288,-0.19858582669265265,7.968737097196338e-05,0.31419111369086494,-0.16087277961568713,4.19074821472168,-0.15110878823014604
601,0.10574186737982263,0.03850285316200907,0.18970943945605925,0.11683366140633594,0.038502853162009076,-0.1696993252942589,0.0001295965243181263,0.07189809203652847,-0.1598425225945617,1.966930866241455,-0.15831665953602225
