Intervention,Signed Bias↓,Abs Bias↓,Gender Mass,WikiText PPL↓,LAMBADA (%)↑,BLiMP (%)↑,Winogender%,GAP (%)↑,CrowS (%)↓,WinoB T1 gap↓,WinoB T2 gap↓
Baseline,+0.0502,0.0713,0.1719,90.98,62.8,96.8,80.0,80.4,70.2,-0.3,+27.0
F356,-0.0045,0.0362,0.1220,90.98,63.2,96.8,50.8,80.4,70.2,+0.3,+29.5
F932,+0.0499,0.0704,0.1695,90.98,63.0,96.8,80.4,80.4,70.2,+0.3,+27.8
F114,+0.0370,0.0547,0.1179,90.98,55.0,96.8,77.1,80.4,70.2,-0.5,+29.8
F356 + F932,-0.0038,0.0354,0.1202,90.98,63.2,96.8,50.0,80.4,70.2,+0.8,+30.3
All three,-0.0067,0.0254,0.0726,90.98,55.6,96.8,44.2,80.4,70.2,-0.3,+32.3
F356 (half) + F932,+0.0205,0.0490,0.1442,90.98,63.2,96.8,64.6,80.4,70.2,-0.5,+28.5
